p_id,brand_id,name,price,color,brand_name,ratingCount,avg_rating
18929144,962.0,VISHUDH WOMEN PURPLE ETHNIC STRAIGHT KURTA WITH TROUSERS & WITH DUPATTA,2349.0,PURPLE,VISHUDH,184.47941042394774,4.101225865898192
19186664,272.0,FABALLEY BLACK HALTER NECK BASIC JUMPSUIT,2600.0,BLACK,FABALLEY,184.47941042394774,4.101225865898192
19274796,964.0,V-MART GIRLS RED & BLACK ETHNIC PRINTED MIDI FLARED PURE COTTON SKIRTS,700.0,RED,V-MART,184.47941042394774,4.101225865898192
19342396,597.0,MORLY BLACK & GREEN DUPION SILK UNSTITCHED DRESS MATERIAL,2499.0,BLACK,MORLY,184.47941042394774,4.101225865898192
2518309,64.0,ANAHI BLUE SOLID DUPATTA,349.0,BLUE,ANAHI,15.0,3.066666667
8002223,903.0,TOKYO TALKIES WOMEN BLUE SUPER SKINNY FIT MID-RISE CLEAN LOOK STRETCHABLE JEANS,1899.0,BLUE,TOKYO TALKIES,1672.0,3.93062201
13709580,95.0,ATHENA LAVENDER BELL SLEEVES SMOCKING CROP GEORGETTE TOP,1499.0,LAVENDER,ATHENA,985.0,4.365482234
14518468,968.0,W WOMEN OFF WHITE & BLACK PRINTED FLARED MAXI SKIRT,3999.0,OFF WHITE,W,25.0,4.64
15088236,750.0,ROADSTER WOMEN STYLISH BLACK COLOURBLOCKED CO-ORD SET,2699.0,BLACK,ROADSTER,6.0,4.166666667
15721024,458.0,KASSUALLY BLACK SOLID KNITTED SHRUG,1999.0,BLACK,KASSUALLY,184.47941042394774,4.101225865898192
15883400,459.0,KAZO WOMEN PURPLE SEQUIN PRINTED SWEATSHIRT,2990.0,PURPLE,KAZO,7.0,4.285714286
16710638,653.0,ORCHID BLUES WOMEN BLUE & WHITE PRINTED COTTON DENIM JACKET,2099.0,BLUE,ORCHID BLUES,5.0,5.0
16915122,444.0,KALINI GREEN & WHITE BANDHANI ART SILK SAREE,1299.0,GREEN,KALINI,49.0,3.591836735
16926908,289.0,FASHION DEPTH WOMEN BLACK ETHNIC MOTIFS EMBROIDERED KURTA,1999.0,BLACK,FASHION DEPTH,159.0,4.496855346
18103200,902.0,TITLIYAN GIRLS WHITE & RED PRINTED READY TO WEAR LEHENGA & BLOUSE WITH DUPATTA,4999.0,WHITE,TITLIYAN,184.47941042394774,4.101225865898192
